,missing,mean,std,min,max
Country Groups,0,,,,
FDI,0,3.3908326842727265,2.1063368893049335,0.269791482,11.55596405
AccessElec,0,76.62638723159093,25.99922341431395,23.08677176,100.0
Renewable(%),0,30.76500205556818,25.5533109957053,1.500334041,81.00714479
CO2,0,4.135675245818183,3.2115518130819742,0.221203409,11.56296045
CPI,2,3.888800488071429,1.2926988245156865,1.529639382,7.581529777
Cellphone,0,76.06332545159091,28.702843597149673,26.55767449,122.8288685
Internet(%),0,27.387007028022722,20.54463518014765,3.246712535,72.28553688
Exports(%),0,31.90042597727273,9.444609576314722,19.93302698,62.16849195
Imports(%),0,32.97750872727273,11.353029869759618,20.10375092,80.99292033
GDP($),0,8864.043350713637,11163.525169178796,522.0282831,39449.29666
MortalityFem,0,149.347479,76.51066029895887,50.15759169,302.1646018
MortalityMale,0,213.08046836363638,72.75468574165463,101.4649561,356.6211892
BirthRate,0,22.804154923409087,9.503921651483912,10.35784881,40.75466725
DeathRate,0,8.300594218954544,1.8090560666552338,5.165597159,11.42991728
MortalityInfant,0,33.49309996488637,21.33368616261904,3.479135854,70.21712959
LifeExp,0,69.18818541954546,6.942003930785658,56.94126383,80.746781
FertilityRate,0,2.9578938620227277,1.2888804140706949,1.465324502,5.608679291
PopGrowth(%),0,1.405461497681818,0.9239773193835844,-0.362709819,2.94203288
UrbanPop(%),0,51.312658155454535,16.8176240813208,22.298,80.02478755
